"7sur7.be","2.22.230.64"
"abh-ace.be","193.191.212.2"
"abh-ace.be","193.191.213.2"
"academieroyale.be","193.53.34.101"
"academieroyale.be","193.53.34.102"
"acco.be","83.217.73.172"
"acco.be","86.39.202.67"
"acl.lu","194.154.192.1"
"acl.lu","195.46.252.2"
"acl.lu","80.90.63.90"
"aclvb.be","83.217.73.172"
"aclvb.be","86.39.202.67"
"actus.ulb.be","164.15.59.215"
"adde.be","79.99.200.7"
"adde.be","79.99.200.79"
"aden.be","79.99.200.45"
"aden.be","79.99.200.7"
"aden.be","79.99.200.76"
"aden.be","79.99.200.77"
"adore.ugent.be","157.193.244.53"
"adrem.ua.ac.be","143.129.69.1"
"aed.public.lu","185.106.25.18"
"aed.public.lu","185.106.25.42"
"aed.public.lu","185.106.25.43"
"aeronomie.be","193.190.144.19"
"aeronomie.be","193.190.230.21"
"aeronomie.be","193.190.249.143"
"afdelingkust.be","83.217.73.172"
"afdelingkust.be","86.39.202.67"
"africamuseum.be","193.190.182.40"
"africamuseum.be","193.190.198.14"
"africamuseum.be","193.190.223.11"
"africamuseum.be","193.190.223.2"
"afrique.lalibre.be","81.246.65.130"
"afrique.lalibre.be","81.246.65.131"
"agendamagazine.be","83.217.73.172"
"agendamagazine.be","86.39.202.67"
"aginsurance.be","83.217.73.172"
"aginsurance.be","86.39.202.67"
"agoraclass.fltr.ucl.ac.be","130.104.1.139"
"agoria.be","83.217.73.172"
"agoria.be","86.39.202.67"
"ai.vub.ac.be","134.184.120.17"
"ai.vub.ac.be","134.184.121.17"
"alcatraz.be","83.217.73.172"
"alcatraz.be","86.39.202.67"
"alia.lu","185.106.25.18"
"alia.lu","185.106.25.42"
"alia.lu","185.106.25.43"
"aml-cfwb.be","83.217.73.172"
"aml-cfwb.be","86.39.202.67"
"ana.public.lu","185.106.25.18"
"ana.public.lu","185.106.25.42"
"ana.public.lu","185.106.25.43"
"ancientolympics.arts.kuleuven.be","134.58.134.15"
"anguis.be","195.47.215.13"
"anguis.be","195.47.215.14"
"anguis.be","195.47.215.56"
"anlux.lu","185.106.25.18"
"anlux.lu","185.106.25.42"
"anlux.lu","185.106.25.43"
"antwerpen.digipolis.be","212.123.0.78"
"antwerpmedia.be","83.217.73.172"
"antwerpmedia.be","86.39.202.67"
"antwerpsymphonyorchestra.be","83.217.73.172"
"antwerpsymphonyorchestra.be","86.39.202.67"
"appelsien.be","83.217.73.172"
"appelsien.be","86.39.202.67"
"aquaculture.ugent.be","157.193.40.52"
"aquarium-museum.uliege.be","139.165.51.88"
"arch.be","193.190.182.40"
"architectura.be","185.3.216.13"
"archive.pcf.be","78.29.234.72"
"archive.pfwb.be","78.29.234.72"
"archive.ugent.be","157.193.230.52"
"archives.africamuseum.be","193.190.223.19"
"archives.bruxelles.be","195.244.180.40"
"archives.uclouvain.be","130.104.6.172"
"arllfb.be","212.3.255.202"
"arllfb.be","212.3.255.210"
"arllfb.be","212.3.255.211"
"arllfb.be","77.109.84.96"
"armb.be","193.53.34.101"
"armb.be","193.53.34.102"
"arsenaallazarus.be","83.217.73.172"
"arsenaallazarus.be","86.39.202.67"
"arsmusica.be","83.217.73.172"
"arsmusica.be","86.39.202.67"
"art-gallery.be","83.217.73.172"
"art-gallery.be","86.39.202.67"
"arts.kuleuven.be","134.58.126.5"
"arts.kuleuven.be","134.58.126.6"
"aspeditions.be","185.21.134.2"
"associatie.kuleuven.be","134.58.126.5"
"associatie.kuleuven.be","134.58.126.6"
"astro.oma.be","193.190.230.31"
"astronomie.be","83.217.73.172"
"astronomie.be","86.39.202.67"
"atomium.be","185.35.52.200"
"atomium.be","195.130.154.74"
"atomium.be","85.255.200.200"
"autosport.be","83.217.73.172"
"autosport.be","86.39.202.67"
"axc.ulb.be","164.15.253.16"
"b-architecten.be","83.217.73.172"
"b-architecten.be","86.39.202.67"
"b-rail.be","185.180.44.4"
"b-rail.be","185.180.45.4"
"baarle-hertog.be","193.190.121.3"
"baarle-hertog.be","193.190.121.4"
"bakkersonline.be","83.217.73.172"
"bakkersonline.be","86.39.202.67"
"balat.kikirpa.be","193.190.221.102"
"bandenroelants.be","83.217.73.172"
"bandenroelants.be","86.39.202.67"
"banx.be","195.238.25.138"
"banx.be","195.238.25.139"
"banx.be","195.238.3.17"
"banx.be","195.238.3.18"
"barco.be","194.7.15.66"
"bartstaes.be","83.217.73.172"
"bartstaes.be","86.39.202.67"
"basilicakoekelberg.be","109.68.161.129"
"basilicakoekelberg.be","86.39.66.3"
"bce.lu","146.220.32.23"
"bce.lu","146.220.33.25"
"bce.lu","193.9.144.81"
"bce.lu","2.57.172.90"
"bce.lu","81.92.235.130"
"bcfi.be","83.217.73.172"
"bcfi.be","86.39.202.67"
"bcs.fltr.ucl.ac.be","130.104.1.139"
"bdwm.be","83.217.73.172"
"bdwm.be","86.39.202.67"
"beaufort.lu","194.154.192.1"
"beaufort.lu","195.46.252.2"
"beaufort.lu","80.90.63.90"
"beauvent.be","83.217.73.172"
"beauvent.be","86.39.202.67"
"bed.public.lu","185.106.25.18"
"bed.public.lu","185.106.25.42"
"bed.public.lu","185.106.25.43"
"beeldbankmechelen.be","185.35.52.200"
"beeldbankmechelen.be","195.130.154.74"
"beeldbankmechelen.be","85.255.200.200"
"befair.be","193.190.182.40"
"belfius.be","141.96.12.122"
"belfius.be","141.96.12.58"
"belgianentertainment.be","83.217.73.172"
"belgianentertainment.be","86.39.202.67"
"belgianrail.be","185.180.44.4"
"belgianrail.be","185.180.45.4"
"belgiantrain.be","185.180.44.4"
"belgiantrain.be","185.180.45.4"
"belgium.be","193.191.212.2"
"belgium.be","193.191.213.2"
"belnet.be","193.190.182.40"
"belnet.be","193.190.198.14"
"belspo.be","193.190.182.40"
"belspo.be","193.190.198.14"
"belspo.be","193.191.208.71"
"belspo.be","193.191.208.72"
"belswim.be","83.217.73.172"
"belswim.be","86.39.202.67"
"bestat.economie.fgov.be","193.191.210.102"
"bestat.economie.fgov.be","193.191.212.2"
"bestat.economie.fgov.be","193.191.213.2"
"bestat.statbel.fgov.be","193.191.210.102"
"bestat.statbel.fgov.be","193.191.212.2"
"bestat.statbel.fgov.be","193.191.213.2"
"bestor.be","134.58.126.5"
"bestor.be","134.58.126.6"
"betafence.be","83.217.73.172"
"betafence.be","86.39.202.67"
"betv.be","185.3.160.71"
"betvgo.be","185.3.160.71"
"bib.kuleuven.be","134.58.126.5"
"bib.kuleuven.be","134.58.126.6"
"biblio.ugent.be","157.193.244.22"
"biblio.vub.ac.be","134.184.120.17"
"biblio.vub.ac.be","134.184.121.17"
"bibliotheek.be","95.128.102.160"
"bikeaway.be","83.217.73.172"
"bikeaway.be","86.39.202.67"
"biketowork.be","185.3.216.13"
"bildr.be","194.42.75.194"
"billybop.be","185.35.52.200"
"billybop.be","195.130.154.74"
"billybop.be","85.255.200.200"
"bio.kuleuven.be","134.58.126.5"
"bio.kuleuven.be","134.58.126.6"
"biodiv.be","193.190.182.40"
"biogov.uclouvain.be","130.104.6.172"
